company_name,order_time,product_name,price,quantity,total_price,customer_count,day_of_week,hour
Max Way,2026-03-06 11:47:06,Lavash,34500,3,103500,1,Friday,11
Max Way,2026-02-28 11:38:01,Lavash,32500,1,32500,2,Saturday,11
Max Way,2026-03-15 19:00:48,Lavash,26500,3,79500,1,Sunday,19
Evos,2026-03-07 07:06:22,Cola,18000,2,36000,1,Saturday,7
Evos,2026-03-01 21:05:35,Burger,31000,4,124000,1,Sunday,21
Feed Up,2026-03-18 04:14:49,Pizza,34500,5,172500,2,Wednesday,4
Feed Up,2026-03-11 20:10:23,Burger,33000,1,33000,1,Wednesday,20
Feed Up,2026-03-15 09:46:15,Pizza,32500,2,65000,1,Sunday,9
Feed Up,2026-03-04 12:49:49,Hot-dog,15500,1,15500,1,Wednesday,12
Oqtepa Lavash,2026-03-04 21:56:45,Lavash,29000,1,29000,1,Wednesday,21
Feed Up,2026-03-01 09:47:35,Pizza,38500,1,38500,1,Sunday,9
Feed Up,2026-03-04 23:32:31,Burger,24500,3,73500,2,Wednesday,23
Evos,2026-03-17 16:24:24,Lavash,33500,5,167500,1,Tuesday,16
Feed Up,2026-02-26 18:43:56,Fries,19000,3,57000,2,Thursday,18
Oqtepa Lavash,2026-03-02 00:46:56,Burger,30000,5,150000,2,Monday,0
Max Way,2026-03-15 20:32:38,Lavash,27000,1,27000,2,Sunday,20
Max Way,2026-03-14 00:20:31,Hot-dog,15000,1,15000,1,Saturday,0
Feed Up,2026-03-05 11:36:05,Fries,15500,3,46500,2,Thursday,11
Feed Up,2026-03-01 18:35:10,Burger,30000,2,60000,1,Sunday,18
Feed Up,2026-03-20 18:45:19,Cola,16500,5,82500,2,Friday,18
Oqtepa Lavash,2026-03-01 11:21:01,Burger,29000,2,58000,1,Sunday,11
KFC,2026-02-28 03:21:04,Lavash,32000,1,32000,2,Saturday,3
Evos,2026-03-25 15:30:15,Lavash,31500,3,94500,1,Wednesday,15
Evos,2026-03-10 13:46:03,Burger,25000,1,25000,2,Tuesday,13
KFC,2026-03-03 14:08:27,Lavash,26500,1,26500,1,Tuesday,14
Feed Up,2026-03-22 14:03:41,Burger,22000,5,110000,3,Sunday,14
KFC,2026-03-12 11:25:57,Lavash,24500,1,24500,1,Thursday,11
Oqtepa Lavash,2026-03-21 11:44:46,Cola,18000,2,36000,2,Saturday,11
Evos,2026-03-26 15:34:03,Burger,32000,1,32000,1,Thursday,15
Max Way,2026-03-02 21:05:54,Fries,16000,1,16000,1,Monday,21
